"SourceLabware","SourceSlot","TargetLabware","TargetSlot","TransAmt","MixAmt","TipID","Comment"
"labware_8","A2","labware_5","D11","150","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","E11","150","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","F11","150","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_5","G11","150","0","40","Distributing Medium-B to labware_5"
"labware_8","A2","labware_6","B7","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","C7","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","D7","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","E7","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","F7","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","G7","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","B8","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","C8","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","D8","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","E8","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","F8","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","G8","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","B9","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","C9","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","D9","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","E9","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","F9","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","G9","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","B10","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","C10","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","D10","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","E10","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","F10","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","G10","50","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","B11","150","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","C11","150","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","D11","150","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","E11","150","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","F11","150","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_6","G11","150","0","40","Distributing Medium-B to labware_6"
"labware_8","A2","labware_4","A7, H7, A8, H8, A9, H9, A10, H10, A11, H11, A12, B12, C12, D12, E12, F12, G12, H12","200","0","41","Medium-B fillings for labware_4"
"labware_8","A2","labware_5","A7, H7, A8, H8, A9, H9, A10, H10, A11, H11, A12, B12, C12, D12, E12, F12, G12, H12","200","0","41","Medium-B fillings for labware_5"
"labware_8","A2","labware_6","A7, H7, A8, H8, A9, H9, A10, H10, A11, H11, A12, B12, C12, D12, E12, F12, G12, H12","200","0","41","Medium-B fillings for labware_6"
">PlateMap","","","","","","",""
"labware_1","(empty)","","","","","",""
"labware_2","(empty)","","","","","",""
"labware_3","(empty)","","","","","",""
"labware_4","96-well_A","","","","","",""
"labware_5","96-well_B","","","","","",""
"labware_6","96-well_C","","","","","",""
"labware_7","tip","","","","","",""
"labware_8","Rack_50_Solvent","","","","","",""
"labware_9","Rack_15","","","","","",""
"labware_10","(empty)","","","","","",""
"labware_11","Rack_1.5_Stock","","","","","",""
"labware_12","TRASH","","","","","",""
